time,id,userName,goats,energy
60,0,null,0,0
60,1,null,0,0
61,0,null,0,0
61,1,null,0,0
62,0,null,0,0
62,1,null,0,0
63,0,null,0,20000
63,1,null,0,20000
64,0,null,0,20000
64,1,null,0,20000
65,0,null,0,20000
65,1,null,0,20000
66,0,null,0,20000
66,1,null,0,20000
67,0,null,0,20000
67,1,null,0,20000
68,0,null,0,20000
68,1,null,0,20000
69,0,null,0,20000
69,1,null,0,20000
70,0,null,0,20000
70,1,null,0,20000
71,0,null,0,20000
71,1,null,0,20000
72,0,null,0,20000
72,1,null,0,20000
73,0,null,0,20000
73,1,null,0,20000
74,0,null,0,20000
74,1,null,0,20000
75,0,null,0,20000
75,1,null,0,20000
76,0,null,0,20000
76,1,null,0,20000
77,0,null,0,20000
77,1,null,0,20000
78,0,null,0,20000
78,1,null,0,20000
79,0,null,0,20000
79,1,null,0,20000
80,0,null,0,20000
80,1,null,0,20000
81,0,null,0,20000
81,1,null,0,20000
82,0,null,0,20000
82,1,null,0,20000
